date,id,parentId,level,name,grade,jobTitle,unit,salaryCostOfReports,payFloor,payCeil,professionalOccupationalGroup
Oct-15,CMO-038,CMO-002,Senior,N/D,SCS1,Deputy Director - Clinical Excellence Awards Policy,Chief Medical Officer's Private Office,317007,ND,,Policy
Oct-15,PHD-063,PHD-019,Senior,N/D,SCS1,"Deputy Director, Obesity and Food Policy",Public Health Directorate,772780,ND,,Policy
Oct-15,SC-077,SC-022,Senior,N/D,SCS1,Deputy Director for Maternity & Child Health,Social Care Local Government & Care Partnerships Directorate,653718,ND,,Policy
Oct-15,IGT2358,IGT2355,Senior,N/D,SCS1,"Deputy Director - Office for Life Sciences, Health Innovation","Innovation, Growth and Technology",0,ND,,Policy
Oct-15,FN-NHSEFP-116,FN140,Senior,Peter Sellars,SCS2,Director of Estates and Facilities,Finance & NHS,323375,45000,49999,Policy
Oct-15,IGT2359,IGT2355,Senior,N/D,SCS1,"Deputy Director - Office for Life Sciences, Health Innovation","Innovation, Growth and Technology",0,ND,,Policy
Oct-15,IGT-2004,IGT-101,Senior,N/D,SCS1,Senior Technical Advisor,"Innovation, Growth and Technology",0,ND,,Policy
Oct-15,PHD-067,PHD-017,Senior,N/D,SCS1,Head of Health Protection Analytical team,Public Health Directorate,597884,ND,,Policy
Oct-15,SER106,IGO-005,Senior,N/D,SCS1,Deputy Director - Strategic Engagement,Group Operations,0,ND,,Policy
Oct-15,FN146,FN-PICD-033,Senior,N/D,SCS1,Head of NHS Litigaton Improvement Programme,Finance & NHS,0,ND,,Policy
Oct-15,SER-2388N,SER-004,Senior,N/D,SCS1,Deputy Director - NHS Cost Recovery programme,Strategy and External Relations,0,ND,,Policy
Oct-15,PHD78,PHD-019,Senior,N/D,SCS1,Deputy Director - Obesity and Diabetes,Public Health Directorate,0,ND,,Policy
Oct-15,IGO-012,IGO-005,Senior,Marion Furr,SCS2,Director Ministerial Business & Parliamentary Accountability,Group Operations,2736741,60000,64999,Operational Delivery
Oct-15,FN144,FN131,Senior,N/D,SCS1,Deputy Director - Delivery Team,Finance & NHS,0,ND,,Policy
Oct-15,IGO-121,IGO-015,Senior,N/D,SCS1,Deputy Director - Head of Internal Audit,Group Operations,622703,ND,,Operational Delivery
Oct-15,FN-GFM-276,FN-GFM-027,Senior,N/D,SCS1,Deputy Director-Finance Operations,Finance & NHS,1400665,ND,,Finance
Oct-15,SER-2310,SER-1945,Senior,N/D,SCS1,"Deputy Director, Quality Improvement",Strategy and External Relations,461156,ND,,Policy
Oct-15,SC-074,SC-026,Senior,N/D,SCS1,Deputy Director for Mental Health Policy & Strategy,Social Care Local Government & Care Partnerships Directorate,491126,ND,,Policy
Oct-15,SC-024,SC-023,Senior,N/D,SCS1,Deputy Director - Strategic Policy & Finance,Social Care Local Government & Care Partnerships Directorate,678570,ND,,Policy
Oct-15,FN145,FN-PICD-108,Senior,N/D,SCS1,"Deputy Director - Growth, Policy and Customer Relations",Finance & NHS,0,ND,,Policy
Oct-15,IGT2366,IGT2355,Senior,N/D,SCS1,Deputy Director - Genomics,"Innovation, Growth and Technology",0,ND,,Policy
Oct-15,FN-FP-111,FN-FP-030,Senior,N/D,SCS1,Deputy Director of Financial Policy & Strategy,Finance & NHS,0,ND,,Policy
Oct-15,SC-212,SC-023,Senior,N/D,SCS1,Deputy Director - Local Government and Regional Policy,Social Care Local Government & Care Partnerships Directorate,417921,ND,,Policy
Oct-15,IGT2357,IGT-028,Senior,N/D,SCS1,Deputy Director - Community Pharmacy,"Innovation, Growth and Technology",0,ND,,Policy
Oct-15,FN-GFM-099,FN-GFM-027,Senior,N/D,SCS1,Deputy Director - Provider Finance,Finance & NHS,323104,ND,,Finance
Oct-15,FN-NHSG-2025,FN-NHSG-031,Senior,N/D,SCS1,Deputy Director - NHS Efficiency,Finance & NHS,1107324,ND,,Policy
Oct-15,SC2250,SC-003,Senior,N/D,SCS1,Head of Dementia Innovation Unit,Social Care Local Government & Care Partnerships Directorate,0,ND,,Policy
Oct-15,IGT2368,IGT2355,Senior,N/D,SCS1,Head of Accelerated Access Review,"Innovation, Growth and Technology",483947,ND,,Policy
Oct-15,RDD-041,RDD-009,Senior,N/D,SCS1,Deputy Director - Research Finance & Programmes,Research & Development Directorate,1036368,ND,,Policy
Oct-15,FN-GFM-2008,FN-GFM-027,Senior,N/D,SCS1,Deputy Director - Accounts,Finance & NHS,1603837,ND,,Finance
Oct-15,FN-FP-2082,FN-FP-030,Senior,N/D,SCS1,Deputy Director - Performance Insight,Finance & NHS,0,ND,,Policy
Oct-15,SC-086,SC-023,Senior,N/D,SCS1,Deputy Director - Social Care Policy & Legislation,Social Care Local Government & Care Partnerships Directorate,663194,ND,,Policy
Oct-15,SC-2249,SC-023,Senior,N/D,SCS1,"Deputy Director - Prevention, Integration and Ageing",Social Care Local Government & Care Partnerships Directorate,0,ND,,Policy
Oct-15,IGT-118,IGT-028,Senior,N/D,SCS1,"Deputy Director - Pricing, Prescriptions and Supply","Innovation, Growth and Technology",957400,ND,,Policy
Oct-15,IGO-049,IGO-016,Senior,N/D,SCS1,Head of Workplace Operations,Group Operations,1686235,ND,,Information Technology
Oct-15,PHD80,PHD-020,Senior,N/D,SCS1,"Deputy Director - Emergency Preparedness, Resilience and Response",Public Health Directorate,486907,ND,,Policy
Oct-15,PHD-073,PHD-020,Senior,N/D,SCS1,Deputy Director EPRR Threats,Public Health Directorate,407618,ND,,Policy
Oct-15,IGO2186,IGO-005,Senior,N/D,SCS1,Deputy Director - Implementation Unit,Group Operations,0,ND,,Operational Delivery
Oct-15,IGT-101,IGT-028,Senior,N/D,SCS1,Deputy Director - Clinical & Cost Effectiveness,"Innovation, Growth and Technology",708855,ND,,Policy
Oct-15,SC-080,SC-026,Senior,N/D,SCS1,Deputy Director - Dementia ( domestic),Social Care Local Government & Care Partnerships Directorate,0,ND,,Policy
Oct-15,IGO-056,IGO-012,Senior,N/D,SCS1,Principal Private Secretary - Office of the Permanent Secretary,Group Operations,0,ND,,Operational Delivery
Oct-15,IGT2360,IGT2355,Senior,VACANT,SCS1,"Deputy Director, Sector Policy","Innovation, Growth and Technology",0,ND,,Policy
Oct-15,SC-087,SC-023,Senior,N/D,SCS1,Deputy Director - Integration,Social Care Local Government & Care Partnerships Directorate,302115,ND,,Policy
Oct-15,IGO-2170,IGO-015,Senior,N/D,SCS1,"Deputy Director Information and Legal, Legacy Management Team",Group Operations,491312,ND,,Programme and Project Management (PPM)
Oct-15,FN-NHSG-117,FN-NHSG-031,Senior,N/D,SCS1,"Deputy Director - Legislation, Constitution & Policy Improvement",Finance & NHS,788279,ND,,Policy
Oct-15,SER-1957,SER-1945,Senior,N/D,SCS1,Deputy Director - Citizen Voice and Insight,Strategy and External Relations,572603,ND,,Policy
Oct-15,FN-NHSG-2023,FN-NHSG-031,Senior,N/D,SCS1,Deputy Director of NHS Policy and Strategy Unit,Finance & NHS,730350,ND,,Policy
Oct-15,IGT2361,IGT-010,Senior,N/D,SCS1,Deputy Director - Policy & Strategy,"Innovation, Growth and Technology",1053867,ND,,Policy
Oct-15,IGO-1831,IGO-015,Senior,N/D,SCS1,Deputy Director of Governance Unit,Group Operations,413815,ND,,Operational Delivery
Oct-15,SER-283,IGO2185,Senior,N/D,SCS1,Deputy Director of Strategy,Group Operations,295542,ND,,Policy
Oct-15,SC-088,SC-022,Senior,N/D,SCS1,Deputy Director - Equalities and Social Inclusion,Social Care Local Government & Care Partnerships Directorate,1028520,ND,,Policy
Oct-15,SER-2433N,SER-1945,Senior,N/D,SCS1,"Deputy Director, Secretary to the Gosport Investigation",Strategy and External Relations,446416,ND,,Other
Oct-15,FN-FP-098,FN-FP-030,Senior,N/D,SCS1,"Deputy Director of Financial Planning, Monitoring and Analysis",Finance & NHS,0,ND,,Finance
Oct-15,IGT2352,IGT-2351,Senior,N/D,SCS1,Deputy Director,"Innovation, Growth and Technology",0,ND,,Operational Delivery
Oct-15,IGO-034,IGO-012,Senior,VACANT,SCS1,Principal Private Secretary to the Secretary of State,Group Operations,1613812,ND,,Operational Delivery
Oct-15,IGO2185,IGO-005,Senior,Kristen McLeod,SCS2,"Director - Strategy, Implementation and Planning",Group Operations,461029,85000,89999,Policy
Oct-15,PHD-1876,PHD-068,Senior,N/D,SCS1,"Deputy Director Genomics, science and emerging technologies",Public Health Directorate,278733,ND,,Policy
Oct-15,PHD-1878,PHD-068,Senior,N/D,SCS1,Deputy Director - Screening and sexual health,Public Health Directorate,322293,ND,,Policy
Oct-15,PHD-1913,PHD-068,Senior,N/D,SCS1,Deputy Director Health Proterction System and Immunisation,Public Health Directorate,434350,ND,,Policy
Oct-15,IGT2362,IGT-010,Senior,N/D,SCS1,Deputy Director - Digital Transformation and Services,"Innovation, Growth and Technology",616343,ND,,Policy
Oct-15,SER-045,SER-1945,Senior,N/D,SCS1,Deputy Director - Professional Standards,Strategy and External Relations,1310956,ND,,Policy
Oct-15,IGO-053,IGO-014,Senior,N/D,SCS1,"Deputy Director, HR Service Delivery",Group Operations,694832,ND,,Human Resources
Oct-15,SER-120,IGO2185,Senior,N/D,SCS1,Deputy Director Strategy Group,Group Operations,0,ND,,Policy
Oct-15,PHD-065,PHD-020,Senior,N/D,SCS1,Deputy Director -Health Protection Programmes,Public Health Directorate,606835,ND,,Policy
Oct-15,PHD-072,PHD-017,Senior,N/D,SCS1,Head of EU and Global Affairs,Public Health Directorate,1081033,ND,,Policy
Oct-15,SC-082,SC-023,Senior,N/D,SCS1,Deputy Director - Quality & Safety,Social Care Local Government & Care Partnerships Directorate,533758,ND,,Policy
Oct-15,FN-PICD-107,FN-PICD-033,Senior,N/D,SCS1,Deputy Director Procurement,Finance & NHS,1796428,ND,,Procurement
Oct-15,SC-078,SC-026,Senior,N/D,SCS1,Deputy Director -Learning Disability & Autism,Social Care Local Government & Care Partnerships Directorate,503323,ND,,Policy
Oct-15,IGO-054,IGO-015,Senior,N/D,SCS1,Deputy Director of Assurance and Public Appointments,Group Operations,1124919,ND,,Operational Delivery
Oct-15,SC2253,SC-003,Senior,N/D,SCS1,Deputy Director Work & Health Joint Unit,Social Care Local Government & Care Partnerships Directorate,0,ND,,Policy
Oct-15,FN-PICD-125,FN-PICD-033,Senior,N/D,SCS1,Deputy Director for Property,Finance & NHS,1313372,ND,,Finance
Oct-15,IGT-100,IGT-028,Senior,N/D,SCS1,Deputy Director - Senior Economic Advisor,"Innovation, Growth and Technology",523174,ND,,Economics
Oct-15,SER-1951,SER-011,Senior,N/D,SCS1,Deputy Director Workforce Development Strategy,Strategy and External Relations,796569,ND,,Policy
Oct-15,FN-PICD-108,FN140,Senior,N/D,SCS1,Deputy Director for Commercial Policy,Finance & NHS,2042432,ND,,Procurement
Oct-15,IGT2353,IGT-010,Senior,N/D,SCS1,Deputy Director - External Partnerships,"Innovation, Growth and Technology",530822,ND,,Operational Delivery
Oct-15,SER-036,SER-1945,Senior,N/D,SCS1,Deputy Director - CQC Sponsorship/Quality Regulation and DH Investigations,Strategy and External Relations,534224,ND,,Policy
Oct-15,PSF042,IGO2187,Senior,N/D,SCS1,Deputy Director - HR Business Change,Group Operations,0,ND,,Human Resources
Oct-15,PHD-061,PHD-068,Senior,N/D,SCS1,"Deputy Director Human Tissue,Embryology and Assisted Reproduction",Public Health Directorate,336443,ND,,Policy
Oct-15,RDD-040,RDD-009,Senior,N/D,SCS1,"Deputy Director - Sponsorship, Performance and Workforce",Research & Development Directorate,0,ND,,Policy
Oct-15,IGT-102,IGT2355,Senior,N/D,SCS1,Deputy Director - Office for Life Sciences,"Innovation, Growth and Technology",0,ND,,Policy
Oct-15,SC2252,SC-003,Senior,N/D,SCS1,Head of Work & Health Joint Unit,Social Care Local Government & Care Partnerships Directorate,353378,ND,,Policy
Oct-15,SER-043,SER-011,Senior,N/D,SCS1,"Deputy Director - NHS Pay, Pensions & Employment Services",Strategy and External Relations,733442,ND,,Policy
Oct-15,IGT-109,IGT-028,Senior,N/D,SCS1,Deputy Director Commercial Medicines Unit,"Innovation, Growth and Technology",2116861,ND,,Procurement
Oct-15,SC-076,SC-023,Senior,N/D,SCS1,Deputy Director - Care Provider Continuity,Social Care Local Government & Care Partnerships Directorate,0,ND,,Policy
Oct-15,PHD-071,PHD-019,Senior,N/D,SCS1,Deputy Director - Alcohol and Drugs Policy,Public Health Directorate,269364,ND,,Policy
Oct-15,PHD066,PHD-017,Senior,N/D,SCS1,Deputy Director - Public Health Policy & Strategy,Public Health Directorate,485224,ND,,Policy
Oct-15,IGO-051,IGO-016,Senior,N/D,SCS1,Head of Business Support & Engagement,Group Operations,1601189,ND,,Property and asset management
Oct-15,SER-042,SER-013,Senior,N/D,SCS1,Deputy Director - Corporate Engagement,Strategy and External Relations,731837,ND,,Policy
Oct-15,PHD077,PHD-068,Senior,N/D,SCS1,Deputy Director - Ebola Team,Public Health Directorate,0,ND,,Policy
Oct-15,SER-055,SER-004,Senior,N/D,SCS1,Deputy Director - Global Summit on Patient Safety & Connecting,Strategy and External Relations,334227,ND,,Operational Delivery
Oct-15,IGO-050,IGO-014,Senior,N/D,SCS1,"Deputy Director - HR Operations & SCS Unit, HR Change Team",Group Operations,833591,ND,,Human Resources
Oct-15,RDD-039,RDD-009,Senior,N/D,SCS1,Acting Deputy Director - Research Infrastructure and Growth,Research & Development Directorate,334838,ND,,Policy
Oct-15,SC-023,SC-003,Senior,Clara Swinson,SCS2,Director of Social Care Policy,Social Care Local Government & Care Partnerships Directorate,987774,80000,84999,Policy
Oct-15,FN128,FN-GFM-027,Senior,N/D,SCS1,Deputy Director - Financial Control,Finance & NHS,971876,ND,,Finance
Oct-15,SER-1946,SER-011,Senior,N/D,SCS1,Deputy Director Workforce Capacity and Information,Strategy and External Relations,425407,ND,,Policy
Oct-15,SC-079,SC-026,Senior,N/D,SCS1,"Deputy Director - Armed Forces and Offender Health, Mental Health Legislation",Social Care Local Government & Care Partnerships Directorate,639791,ND,,Policy
Oct-15,PHD-066,PHD-019,Senior,N/D,SCS1,Deputy Director - Health Visitor programme and healthy foods,Public Health Directorate,421759,ND,,Policy
