id,parentId,date,level,name,grade,jobTitle,unit,salaryCostOfReports,payFloor,payCeil,professionalOccupationalGroup
root,,,,,,,,,,,
CLG001,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Business Rates and Valuation",Permanent Secretary,0,0,0, 
CLG002,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Communities and Neighbourhood",Permanent Secretary,0,0,0, 
CLG003,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Planning Environment",Permanent Secretary,0,0,0, 
CLG004,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Programme Team",Permanent Secretary,0,0,0, 
CLG005,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Community Action",Permanent Secretary,0,0,0, 
CLG006,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Local Government Strategy and Decentralisation",Permanent Secretary,0,0,0, 
CLG007,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Thames Gateway and the Olympics; East London Legacy",Permanent Secretary,0,0,0, 
CLG008,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Programme Team",Permanent Secretary,0,0,0, 
CLG009,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Private Sector Housing",Permanent Secretary,0,0,0, 
CLG010,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Housing Supply",Permanent Secretary,0,0,0, 
CLG011,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Fire and Resilience Research and Statistics",Permanent Secretary,0,0,0, 
CLG012,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Cohesion and Faiths",Permanent Secretary,0,0,0, 
CLG013,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Economic and Social Policy",Permanent Secretary,0,0,0, 
CLG014,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Big Society",Permanent Secretary,0,0,0, 
CLG015,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Social Housing Management and Performance",Permanent Secretary,0,0,0, 
CLG016,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Programme Team",Permanent Secretary,0,0,0, 
CLG017,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Accountability",Permanent Secretary,0,0,0, 
CLG018,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Olympic Games and Park Legacy",Permanent Secretary,0,0,0, 
CLG019,root,Sep-14,Senior,ELIMINATED,SCS2,"Director, Chief Scientific Adviser",Permanent Secretary,0,0,0, 
CLG020,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Thames Gateway",Permanent Secretary,0,0,0, 
CLG021,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, European Regional Development Fund Delivery and Strategic Rick and Programme Management",Permanent Secretary,0,0,0, 
CLG022,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Economic Partnerships and Cities",Permanent Secretary,0,0,0, 
CLG023,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Programme Team",Permanent Secretary,0,0,0, 
CLG024,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Programme Management for People, Capability and Change",Permanent Secretary,0,0,0, 
CLG025,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Planning Development Plans",Permanent Secretary,0,0,0, 
CLG026,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Chief Statistician, Data Collection, Analysis and Accountancy",Permanent Secretary,0,0,0, 
CLG027,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Decentralisation Team",Permanent Secretary,0,0,0, 
CLG028,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Business Relationship Management",Permanent Secretary,0,0,0, 
CLG029,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Legal",Permanent Secretary,0,0,0, 
CLG030,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Regeneration, Disadvantage and Economic Policy",Permanent Secretary,0,0,0, 
CLG031,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Transparency and the Citizen",Permanent Secretary,0,0,0, 
CLG032,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Firecontrol",Permanent Secretary,0,0,0, 
CLG033,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Housing, Markets and Planning Analysis",Permanent Secretary,0,0,0, 
CLG034,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Local Government Finance, Strategy, Revenue Capital",Permanent Secretary,0,0,0, 
CLG035,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Housing Analysis and Surveys Division",Permanent Secretary,0,0,0, 
CLG036,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Spending Review",Permanent Secretary,0,0,0, 
CLG037,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Sustainable Buildings and Climate Change Directorate",Permanent Secretary,0,0,0, 
CLG038,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Programme Team",Permanent Secretary,0,0,0, 
CLG039,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Housing and Land",Permanent Secretary,0,0,0, 
CLG040,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Geographical and Statistical Evidence",Permanent Secretary,0,0,0, 
CLG041,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Communities and Neighbourhood Directorate",Permanent Secretary,0,0,0, 
CLG042,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Fire and Resilience Programme Integration",Permanent Secretary,0,0,0, 
CLG043,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director Housing, Care and Support",Permanent Secretary,0,0,0, 
CLG044,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Fire, Finance and Performance and Emergencies Management",Permanent Secretary,0,0,0, 
CLG045,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Maximising Operational Productivity",Permanent Secretary,0,0,0, 
CLG046,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Affordable Housing",Permanent Secretary,0,0,0, 
CLG047,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Sustainable Buildings",Permanent Secretary,0,0,0, 
CLG048,root,Sep-14,Senior,ELIMINATED,SCS1,Principal Private Secretary,Permanent Secretary,0,0,0, 
CLG049,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Fire and Rescue Development",Permanent Secretary,0,0,0, 
CLG050,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Knowledge Management",Permanent Secretary,0,0,0, 
CLG051,root,Sep-14,Senior,ELIMINATED,SCS1,"Deptuy Director, Programme Team",Permanent Secretary,0,0,0, 
CLG052,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Finance Business Partnering, Planning and Reporting",Permanent Secretary,0,0,0, 
CLG053,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Communities Analysis",Permanent Secretary,0,0,0, 
CLG054,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Productivity and Service Transformation",Permanent Secretary,0,0,0, 
CLG055,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Planning Development Management",Permanent Secretary,0,0,0, 
CLG056,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Housing Strategy and Cross-Cutting Policy",Permanent Secretary,0,0,0, 
CLG057,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Head of News and External Communications",Permanent Secretary,0,0,0, 
CLG058,root,Sep-14,Senior,ELIMINATED,SCS1,"Deputy Director, Renewing Neighbourhoods",Permanent Secretary,0,0,0, 
