date,id,parentId,level,name,grade,jobTitle,unit,salaryCostOfReports,payFloor,payCeil,professionalOccupationalGroup
Sep-15,0,OD366,Senior,N/D,SCS1,Not in Post,N/A,0,N/A,N/A,Programme and Project Management (PPM)
Sep-15,OD096,OD099,Senior,N/D,SCS1,Deputy Director of CSR and Head of Civil Service Faststream,Civil Service Resourcing,24016000,N/A,N/A,Human Resources
Sep-15,OD097,OD099,Senior,N/D,SCS1,Head of SCS Recruitment & Secondment and Interchange,Civil Service Resourcing,2279000,N/A,N/A,Human Resources
Sep-15,OD098,OD099,Senior,N/D,SCS1,Deputy Director of Recruitment Operation & Service Development,Civil Service Resourcing,3264000,N/A,N/A,Human Resources
Sep-15,OD252,OD105,Senior,VACANT,SCS2,Firector of Finance & Strategy,Corporate Finance,0,0,0,Finance
Sep-15,OD256,OD105,Senior,VACANT,SCS2,Director Internal Audit,Internal Audit,0,0,0,Internal Audit
Sep-15,OD419,OD102,Senior,VACANT,SCS2,"Director Knowledge, Analysis & Intelligence ","Knowledge, Analysis & Intelligence",0,0,0,Economics
Sep-15,OD555,OD103,Senior,VACANT,SCS2,PT Director,PT Director,0,0,0,Finance
Sep-15,OD579,OD107,Senior,VACANT,SCS2,Columbus HR Director,CDIO,0,0,0,Information Technology
Sep-15,OD580,OD107,Senior,VACANT,SCS2,ARP Commercial Director,CDIO,0,0,0,Information Technology
Sep-15,OD582,OD107,Senior,VACANT,SCS2,Cloud Transformation Director,CDIO,0,0,0,Information Technology
Sep-15,OD595,OD106,Senior,VACANT,SCS2,Director - Mid Sized and Wealthy,Local Compliance,0,0,0,Operational Delivery
Sep-15,ODR1,OD101,Senior,N/D,SCS4,"Tax, Duties, Benefits & Credits","Tax, Duties, Benefits & Credits",0,0,0,
Sep-15,ODR2,OD101,Senior,N/D,SCS3,Corporate Functions,Corporate Functions,0,0,0,
Sep-15,OD507,OD104,Senior,Mark Cope,SCS2,Programme Director HMRC Transformation Programme,HMRC Change Portfolio Group,1848000,"70,000","74,999",Programme and Project Management (PPM)
Sep-15,OD099,OD108,Senior,James Norton,SCS2,Director of Civil Service Resourcing,Civil Service Resourcing,976000,"85,000","89,999",Human Resources
Sep-15,OD112,OD111,Senior,N/D,SCS1,Deputy Director Process Design & Customer Engagement,Benefits & Credits,2403000,N/A,N/A,Operational Delivery
Sep-15,OD113,OD111,Senior,N/D,SCS1,Deputy Director Strategy & Policy,Benefits & Credits,1731000,N/A,N/A,Policy
Sep-15,OD114,OD193,Senior,N/D,SCS1,Assistant Director,Large Business,0,N/A,N/A,Tax Professionals
Sep-15,OD115,OD108,Senior,N/D,SCS1,HR Director - Benefits & Credits,HR,689000,N/A,N/A,Human Resources
Sep-15,OD116,OD117,Senior,N/D,SCS1,Operational Planning & Implementation,Benefits & Credits,5352000,N/A,N/A,Operational Delivery
Sep-15,OD136,OD109,Senior,Jon Sherman,SCS2,"Director Corporation Tax, International and Stamps",CTIS,1009000,"85,000","89,999",Tax Professionals
